intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
204,105575465,2020-07-08T00:00:00/2020-07-09T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007080000,TrafficFlowObserved,bicycle,False
189,105575465,2020-07-09T00:00:00/2020-07-10T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007090000,TrafficFlowObserved,bicycle,False
214,105575465,2020-07-10T00:00:00/2020-07-11T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007100000,TrafficFlowObserved,bicycle,False
126,105575465,2020-07-11T00:00:00/2020-07-12T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007110000,TrafficFlowObserved,bicycle,False
101,105575465,2020-07-12T00:00:00/2020-07-13T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007120000,TrafficFlowObserved,bicycle,False
192,105575465,2020-07-13T00:00:00/2020-07-14T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007130000,TrafficFlowObserved,bicycle,False
123,105575465,2020-07-14T00:00:00/2020-07-15T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007140000,TrafficFlowObserved,bicycle,False
198,105575465,2020-07-15T00:00:00/2020-07-16T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007150000,TrafficFlowObserved,bicycle,False
206,105575465,2020-07-16T00:00:00/2020-07-17T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007160000,TrafficFlowObserved,bicycle,False
225,105575465,2020-07-17T00:00:00/2020-07-18T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007170000,TrafficFlowObserved,bicycle,False
120,105575465,2020-07-18T00:00:00/2020-07-19T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202007180000,TrafficFlowObserved,bicycle,False
