ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Altitude;Longitude;Latitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07643;2020-04-13T14:00:00+02:00;101460;50.0;3;170;4.2;287.25;282.85;75;12950.0;61;;;100.0;8;1750.0;;;;101360.0;;;-600.0;;;;;283.75;;;6.6;8.9;-10.0;;;;;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;1.0;;1800.0;8.0;;2280.0;;8;;;;;43.577,3.963167;MONTPELLIER;3;;61;14.100000000000023;;;;;10.600000000000023;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2020-04-19T17:00:00+02:00;101130;-170.0;8;140;5.4;288.35;287.05;92;19520.0;0;;;100.0;8;250.0;;;;101030.0;;;-590.0;;;;;287.15;;;7.2;8.4;-10.0;;;;;0.0;0.0;0.0;2.0;2.0;;;;;7.0;;210.0;8.0;;330.0;;;;;;;43.577,3.963167;MONTPELLIER;8;;0;15.200000000000045;;;;;14.0;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2020-04-27T11:00:00+02:00;101200;60.0;3;150;6.6;291.15;288.75;86;19750.0;0;;;100.0;8;450.0;;;;101110.0;;;110.0;;;;;289.95;;;9.0;9.3;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;2.0;;330.0;3.0;;510.0;7.0;;720.0;;;;43.577,3.963167;MONTPELLIER;3;;0;18.0;;;;;16.80000000000001;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2020-04-29T17:00:00+02:00;101210;-120.0;8;220;9.4;291.85;284.45;62;18720.0;0;;;;0;;;;;101120.0;;;300.0;;;;;286.85;;;13.4;14.5;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;8;;0;18.700000000000045;;;;;13.700000000000045;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2020-04-23T08:00:00+02:00;101880;110.0;3;20;3.4;286.55;286.55;100;5460.0;0;;;100.0;8;150.0;;;;101780.0;;;590.0;284.15;;288.05;;286.75;;;5.4;5.4;-10.0;;;;;0.0;0.0;0.2;0.2;2.2;;;;;8.0;;120.0;;;;;;;;;;43.577,3.963167;MONTPELLIER;3;;0;13.400000000000034;11.0;;14.900000000000034;;13.600000000000023;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2020-04-20T23:00:00+02:00;100740;70.0;0;280;1.1;288.55;288.05;97;6970.0;61;;;100.0;7;800.0;;;;100650.0;;;-300.0;;;;;289.65;;;1.8;1.9;-10.0;;;;;1.4;4.1;6.7;9.1;15.1;;;;;7.0;;600.0;7.0;;870.0;8.0;;1560.0;;;;43.577,3.963167;MONTPELLIER;0;;61;15.400000000000034;;;;;16.5;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;4
07643;2021-02-08T16:00:00+01:00;99700;-160.0;6;140;2.8;283.65;278.85;72;60000.0;0;;;100.0;8;1750.0;;;;99600.0;;;-410.0;;;;;277.25;;;4.0;4.1;-10.0;;0.0;;;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;7.0;;1920.0;8.0;;2340.0;;;;;;;43.577,3.963167;MONTPELLIER;6;;0;10.5;;;;;4.100000000000023;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2021-02-13T01:00:00+01:00;101950;210.0;3;360;4.6;279.05;278.45;96;17000.0;60;;;100.0;;800.0;;;;101850.0;;;;;;;;;;;;7.2;-10.0;;0.0;;;;4.0;5.0;;;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;3;;60;5.900000000000034;;;;;;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2021-02-15T19:00:00+01:00;103500;-90.0;6;50;2.6;280.85;280.25;96;4800.0;61;;;100.0;;150.0;;;;103400.0;;;;276.05;;283.45;;;;;;5.7;-10.0;;0.0;;;;0.6;;0.6;;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;6;;61;7.7000000000000455;2.900000000000034;;10.300000000000011;;;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2021-02-17T01:00:00+01:00;102500;10.0;0;10;2.6;281.25;280.85;97;3800.0;10;;;;;450.0;;;;102400.0;;;;;;;;;;;;4.1;-10.0;;0.0;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;0;;10;8.100000000000023;;;;;;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;2
07643;2021-01-08T22:00:00+01:00;101380;20.0;0;20;6.3;276.55;269.25;59;50100.0;0;;;100.0;8;5160.0;;;;101280.0;;;-180.0;;;;;273.65;;;9.5;10.7;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;5160.0;8.0;;7020.0;;;;;;;43.577,3.963167;MONTPELLIER;0;;0;3.400000000000034;;;;;0.5;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;1
07643;2021-01-12T04:00:00+01:00;102370;40.0;0;300;1.4;269.25;266.45;81;12160.0;0;;;;0;;;;;102270.0;;;450.0;;;;;266.85;;;1.8;2.8;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;43.577,3.963167;MONTPELLIER;0;;0;-3.8999999999999773;;;;;-6.2999999999999545;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;1
07643;2021-01-13T04:00:00+01:00;102210;10.0;3;280;9.5;283.35;276.85;64;60000.0;0;;;75.0;6;3180.0;;;;102110.0;;;-160.0;;;;;276.95;;;13.7;17.5;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;6.0;;3180.0;;;;;;;;;;43.577,3.963167;MONTPELLIER;3;;0;10.200000000000045;;;;;3.8000000000000114;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;1
07643;2021-01-20T04:00:00+01:00;101680;-190.0;6;30;3.8;280.75;277.35;79;32000.0;0;;;100.0;8;800.0;;;;101580.0;;;-960.0;;;;;272.05;;;5.0;6.0;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;750.0;8.0;;930.0;;;;;;;43.577,3.963167;MONTPELLIER;6;;0;7.600000000000023;;;;;-1.099999999999966;2;3.963167;43.577;Mauguio;34154;CA du Pays de l'Or;243400470;Hérault;34;Occitanie;76;1
